,0
some,1
aspects,1
of,1
radiation,1
induced,1
nucleation,1
in,1
water,1
by,1
chih-ping,1
tso,1
b,1
tech,1
loughborough,1
university,1
of,1
technology,1
united,1
kingdom,1
1968,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
master,1
of,1
seience,0
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
august,1
1970,1
signature,1
of,1
author,1
ee,0
departiiént,0
of,1
nuclear,1
engineering,1
certified,1
by,1
bagge,0
thesis,1
supervisor,1
date,1
accepted,1
by,1
chairman,1
departmental,1
committee,1
arc,0
hives,0
on,1
graduate,1
students,1
mass,1
inst,1
7ee,0
sep,1
21,1
1970,1
sjb,0
ra,0
ries,0
ppccedupes,0
as,1
a,1
peppesfntaticn,0
fop,0
mata,0
in,1
a,1
computer,1
ppcgpaim,0
fcr,0
undepstatipe,0
ic,0
matupal,0
language,1
hy,0
terry,1
iinograd,0
p,1
a,1
the,1
colorado,1
college,1
1966,1
suppittter,0
¢n,0
paptial,0
fulfillment,1
cf,0
the,1
pequepemfnts,0
fcp,0
thf,0
pfopee,0
of,1
poctopr,0
nf,0
philoscphy,1
at,1
the,1
massachusetts,1
imnstitutf,0
of,1
tfchnology,0
august,1
12790,0
signature,1
of,1
author,1
wun,0
soe,0
ee,0
ee,0
department,1
of,1
mat,0
feratic,0
tugust,0
2h,0
1979,1
certified,1
by,1
woe,0
we,1
ee,0
ee,0
thests,0
supervisor,1
accepted,1
hy,0
e,1
e,1
a,1
78,0
e,1
«,0
°,0
e,1
‘,0
',0
a,1
a,1
«,0
°,0
chairman,1
denartmental,0
corrittee,0
on,1
craduate,0
students,1
mass,1
inst,1
fece,0
sep,1
29,1
1279,0
ven,0
saies,0
an,1
experimental,1
investigation,1
of,1
oil,1
spreading,1
over,1
water,1
by,1
walter,1
suchon,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degrees,1
of,1
bachelor,1
of,1
science,1
and,1
master,1
of,1
science,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
april,1
1970,1
signature,1
of,1
author,1
cescscce,0
crn,0
cce,0
vases,0
eee,0
e,1
asm,0
ees,0
mee,0
earv,0
reser,0
eee,0
neers,0
ns,0
department,1
of,1
mechanical,1
engipeering,0
certified,1
by,1
lt,0
you,0
eee,0
steer,0
teeta,0
ees,0
thesis,1
supervisor,1
accepted,1
dy,0
cc,0
cecvese,0
sree,0
ene,0
ge,0
veume,0
ter,0
ceve,0
seman,0
rseeess,0
een,0
ene,0
ewe,0
sc,1
ereens,0
chairman,1
departmental,1
committee,1
on,1
graduate,1
students,1
archives,1
digital,1
simulation,1
of,1
a,1
transportation,1
interface,1
by,1
chryssostomos,1
chryssostomidis,1
b,1
sc,1
university,1
of,1
durham,1
1965,1
s,1
m,1
massachusetts,1
institute,1
of,1
technology,1
1967,1
nav,1
arch,1
massachusetts,1
institute,1
of,1
technology,1
1968,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
doctor,1
of,1
philosophy,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
february,1
1970,1
signature,1
of,1
author,1
department,1
of,1
naval,1
architecture,1
and,1
marine,1
engineering,1
january,1
8,1
1970,1
é,0
a,1
a,1
certified,1
by,1
wo,0
ee,0
thesis,1
supervisor,1
n,1
on,1
accepted,1
by,1
fo,0
chairman,1
oe,0
ert,0
ee,0
committee,1
fj,0
on,1
graduate,1
students,1
ma,1
archives,1
te,0
mass,1
hst,0
le,0
w,1
nov,1
27,1
1970,1
jerr,0
ries,0
immersions,1
of,1
symmetric,1
spaces,1
by,1
edmund,1
francis,1
kelly,1
b,1
sc,1
queen,0
's,0
university,1
belfast,1
n,1
ireland,1
1965,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
doctor,1
of,1
philosophy,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
june,1
1970,1
signature,1
of,1
author,1
tees,0
cls,0
ctr,0
ance,0
ehocesascces,0
ee,0
eerweern,0
sone,0
department,1
of,1
mathematics,1
“,0
june,1
1,1
1970,1
certified,1
by,1
eevees,0
eopeseasteeseneteeoee,0
ff,0
thesis,1
supervisor,1
eeeeteeeeeoerseeaeo,0
greece,1
sr,1
sree,0
neeranas,0
”,0
wn,0
wm,1
accepted,1
by,1
coop,0
o,1
oe,0
meme,0
mewn,0
e,1
ene,0
tama,0
interests,0
seaseareesees,0
archives,1
chairman,1
departmental,1
committee,1
mass,1
inst,1
tega,0
on,1
graduate,1
students,1
jun,1
3,1
0,0
1970,1
t-532,0
inertial,1
gyro,1
life-cycle,1
costs,1
—,0
analysis,1
and,1
management,1
by,1
peter,1
joseph,1
palmer,1
s,1
b,1
massachusetts,1
institute,1
of,1
technology,1
1950,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
master,1
of,1
science,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
june,1
1970,1
signature,1
of,1
author,1
department,1
of,1
karonantics,0
and,1
astronautics,1
june,1
1970,1
certified,1
by,1
--,0
:,1
er,0
thesis,1
supervisor,1
accepted,1
by,1
6,1
6,1
6,1
6,1
6,1
em,0
eb,0
te,0
ee,0
et,1
fe,0
ee,0
ee,0
ee,0
chairenin,0
departmental,1
committee,1
ou,0
on,1
graduate,1
students,1
archives,1
mass,1
inst,1
tecy,0
aug,1
2,1
1,1
1979,1
ler,0
aries,0
ionization,1
in,1
seeded,1
detonation,1
waves,1
wr,0
’,0
-,0
by,1
mar,1
16,1
1960,1
satyaki,1
basu,1
library,0
mech,1
university,1
of,1
bombay,1
1954,1
s,1
m,1
massachusetts,1
institute,1
of,1
technology,1
1955,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
doctor,1
of,1
science,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
september,1
1959,1
slenature,0
of,1
author,1
reece,1
ceo,0
rec,0
ccnrcceseccces,0
seer,0
department,1
of,1
mechanical,1
engineering,1
september,1
28,1
1959,1
certified,1
by,1
f,1
thesigsupervisor,0
accepted,1
dy,0
cceas,0
w,1
chairman,1
departmental,1
committee,1
on,1
ree,0
students,1
ethyl,1
alcohol,1
as,1
fuel,1
for,1
internal,1
combustion,1
engines,1
by,1
enrique,1
l,1
kilayko,1
b,1
s,1
m,1
e,1
universidad,1
de,1
santo,1
tomas,1
1959,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
master,1
of,1
science,1
at,1
the,1
massachusetts,1
institue,0
of,1
technolory,0
september,1
1960,1
signature,1
of,1
author,1
ee,0
te,0
:,1
-,0
department,1
of,1
mechanical,1
engineering,1
auguse,0
«,0
a,1
360,0
certified,1
by,1
f,1
accepted,1
by,1
chairman,1
tee,0
hhepartmental,0
committee,1
on,1
graduate,1
students,1
ligrarnl,0
dynamics,1
of,1
the,1
tankship,1
industry,1
by,1
alfred,1
i,1
raff,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
master,1
of,1
science,1
in,1
shipping,1
and,1
shipvuilding,0
management,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
june,1
1960,1
signature,1
of,1
author,1
peparimgfe,0
of,1
naval,1
architectu€,0
and,1
marine,1
engineering,1
may,1
21,1
19,1
certified,1
by,1
oe,0
eg,0
thesis,1
supérvisdr,0
a,1
accepted,1
by,1
tment,0
oe,0
da,1
she,0
ey,0
rama,0
melanin,0
chairman,1
departmental,1
committee,1
on,1
‘,0
yeses,0
analysis,1
of,1
tap,0
drives,1
by,1
anton,1
keats,1
simson,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
bachelor,1
of,1
science,1
at,1
the,1
massachusetts,1
institute,1
of,1
technc,0
logy,0
june,1
1960,1
signature,1
of,1
author,1
department,1
of,1
mechanical,1
sngineering,0
may,1
23,1
1960,1
certified,1
by,1
ee,0
lt,0
thesis,1
supervisor,1
accepted,1
by,1
chairman,1
departmental,1
committee,1
on,1
theses,1
a,1
headquarters,1
for,1
the,1
world,1
health,1
organization,1
in,1
geneva,1
switzerland,1
by,1
johannes,1
philipp,1
holschneider,1
diplom,1
ingenieur,1
1959,1
technische,1
hochschule,1
karlsruherhein,0
germany,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
master,1
in,1
architecture,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
signature,1
of,1
author,1
seh,0
eveeeceneedevenetessacnae,0
certified,1
by,1
cer,0
eee,0
amet,0
here,0
eee,0
oa,0
eres,0
nner,0
eeseeeunteanae,0
a,1
thesis,1
supervisor,1
accented,0
by,1
oe,0
chairman,1
departmental,1
committee,1
|,1
on,1
graduate,1
students,1
cocommutative,1
hopf,1
algebras,1
with,1
antipode,1
by,1
moss,1
eisenberg,1
sweedler,1
b,1
s,1
massachusetts,1
institute,1
of,1
technology,1
1963,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
doctor,1
of,1
philosophy,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
august,1
1965,1
a,1
ae,0
sf,0
signature,1
of,1
author,1
——,0
ee,0
re,1
hy,0
me,0
th,0
department,1
of,1
mathematics,1
august,1
31,1
1965,1
certified,1
dy,0
8,1
7,1
ov,0
otc,0
e,1
eee,0
ee,0
eee,0
mw,0
meer,0
na,0
ees,0
e,1
sae,0
rvene,0
thesis,1
supervisgr,0
ff,0
f,1
na,0
tobe,0
accepted,1
by,1
evens,0
rese,0
side,0
ee,0
ece,0
el,1
nb,0
a,1
ee,0
ew,0
ee,0
wears,0
dbase,0
sas,0
sensvneses,0
chairman,1
departmental,1
committee,1
on,1
graduate,1
students,1
sep,1
15,1
1965,1
libraries,1
bee,0
cine,0
ne,0
``,0
on,1
the,1
mechanics,1
of,1
twist,1
insertion,1
'',0
by,1
aly,1
h,1
m,1
el-shiekh,1
b,1
sc,1
university,1
of,1
alexandria,1
u,1
a,1
r,1
1956,1
s,1
m,1
massachusetts,1
institute,1
of,1
technology,1
1961,1
m,1
e,1
massachusetts,1
institute,1
of,1
technology,1
1964,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
doctor,1
of,1
science,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
may,1
1965,1
signature,1
of,1
the,1
author,1
a,1
z,0
ee,0
eeee,0
w,1
department,1
of,1
mechanical,1
engineering,1
fibers,1
and,1
polymers,1
division,1
certified,1
by,1
sees,0
thesis,1
supervisor,1
accepted,1
by,1
vee,0
ac,0
eee,0
vce,0
e,1
eens,0
aaee,0
chairman,1
departmental,1
committee,1
on,1
graduate,1
scudenrs,0
a,1
museum,1
of,1
history,1
for,1
boston,1
submitted,1
in,1
partial,1
fulfillment,1
of,1
the,1
requirements,1
for,1
the,1
degree,1
of,1
bachelor,1
of,1
architecture,1
at,1
the,1
massachusetts,1
institute,1
of,1
technology,1
june,1
1965,1
calvin,1
f,1
opitz,1
a,1
“,0
